OverallRating,ReviewBody
8.0,"A totally unremarkable  breakfast on time,  very comfortable as  the configuration goes.  Reduced catering due  to the storm  was effect greatly exaggerated. This was advised by email,  however a euro  menu was provided  and not easy  to use -  this lounge made  due for this loss."
1.0,"1. Ground crew in Heathrow left 60 passengers luggage.  I had 3 . 2. The Heathrow ground crew left 1 of ours behind after the 1st two  we received the  previous day. 3. The Heathrow ground crew lost our 3rd bag 4 times and we  sat on the  plane with them for over 3 hrs over the  rest of the week! 4. Due  ot this, we had to spend $500 on health  and beauty items  for my wife  during our cruise. 5. British Airways said they MIGHT  return after 3 months. 6. We had to spend $100 in cab  fares to Barcelona because the Bacelona ground crew (Iberia) claimed they had delivered it to  us 7. Heathrow  ground crew made us 15 minutes late arriving back  to Heathrow after our cruise. We actually landed 10 minutes early, but those incompetent people still were not ready for us. 8. The Heathrow  flight crew caused us to leave 45 minutes late even though ALL passengers were boarded  & ready 15 minutes before the  departure time. This  would probably mean  we will miss  my connection in Anchorage. BA clearly does not care or know how to operate a ground base...shameful. BA is a joke and should be  ashamed they can't  operate like a  commercial airline. They do not grasp the concept that even a small hiccup can cause mass ripples of chaos to other people."
6.0,"London Heathrow to Gibraltar on 24th  March 2023. I shall start by  pointing to the booking process. I  use the BA  website to reserve  my seat and food the website  to be easy  of use and  reliable in every aspect. The flight  were due to  depart from terminal  one but the  aircraft were bussed for a good  45 minutes to a different part of the airport  where the aircraft  was on a  platform When boarding the flight the  passengers kept a  very low profile and this was maintained during the entire flight. The  captain made 3  audio announcements during  each flight. There  were no in-flight  announcements The seats  are clean and comfortable enough for a short flight.  The lack of  service was overt. Other than a tiny bottle of  coffee and an inedible “breakfast bar” one had to use an online  menu to order even a drink and of course pay for it too. The passengers  speaking to me  do not use the online system as it doe nt seem to  exist and the  attendant refused to sell them a coffee because of this fault. Moreover, the USB charge  point did not work either. Given the early hour  of the flight it is a poor show that there are not  drinks for sale  and available from  the trolley service. The system BA have in place  was not good ! The flight  arrived on-time. The  flight was inefficient  though and poorly managed and the  staff were not  much be seen. The crew were wearing the new  BA uniform and  this seems to reflect a downward  trajectory of the airline. To be candid, there was any difference between  a BA service  to that of  their “budget” rivals. On this route  we have a  hotel and so  I did not have an option  but use the services of a  private company."
8.0,Second time flying  US Airways and  we would not  hesitate to fly economy with them . Flight attendants  very pleasant and  friendly Excellent special  food (low sodium).  Cargo space in  Economy One of  our better flights.
7.0,"I flew London to Cairo and  Dubai in October : It was  also a perfectly good pair of flights in Economy,  very pleasant and  helpful cabin crew  ( on the return journey). Being  about 1.73 m tall I have  little problem with  sitting in the back of the  seat the seat  is OK if getting a little  crowded after 5 hours, and the  offer of a rather good included  DVD box and  snacks was welcome. However, it must be said that the value for  money was poor:  as a checked  bag on the return leg only,  it was a  hefty £700 ticket. And although I  am content to  take the time  with reading or  writing it was surprising to find  no in-flight entertainment on 5-hour flights.  But overall I would still recommend  this and would  say so even  more enthusiastically if  this was more sensibly priced."
1.0,"Absolutely the worst experience ever.  Flew into Heathrow, no problem. Waited for 5 hours,  2 extra hours,  for our connection  in Porto then the cancelled the flight. Scrambled for  a hotel and  our new flight the next day.  Airways routed us through Madrid the next morning. That flight was 1.5 hours late so we missed our connection to Porto. Because we missed the connection (their  fault they cancelled our return flights. After two hours on the phone with customer service  at the Madrid airport, they booked us a new  return flight, then they made is pay $ 1300 to fly from Madrid to Porto. Then, for no  reasons they cancelled our return flight . After hours, and hours and hours with customer service, we finally  got a return flight five days after our original return flight. Meanwhile, they lost my wife's luggage. We finally got 15 DAYS after they lost it. Return  flight More problems with our reservations. At no point was British Airways helpful. They left the onus on  me to fix their mistakes at every turn. They  completely ruined a three week vacation and they don't care. They wouldn't even let us speak to a supervisor or manager.  Totally bordering on passenger abuse."
8.0,Flew back from  India after scattering our son's ashes at his favourite spots. When we boarded the aircraft  for our return  trip my wife  seemed upset. A  Member of the  cabin crew noticed this and immediately  spoke to my  husband and tried  to reassure her.  Her name is  is an exceptional crew member. I noticed she spoke to other travellers  in a courteous  tone and was friendly. Each time  I passed my  daughter she asked how she was  or would she like anything. This kindness made a  stressful time easier for us both. Aircraft seats were comfortable and service  excellent for a 2hrs. 45mins. flight. Thank you B.A.
3.0,"Cabin luggage had  to go to cargo, even when  it said I  had medicines. There was no time to get them out the hand . The economy seats with Virgin , KLM and even Ryanair have  limited space. Luckily it was a  long flight."
4.0,"We have been using BA for  quite while now  and on average  I cannot say  that I am  not satisfied. BA  does experience cancellations  & delays most  times the time. Second, the in-flight  service is usually  better Food portions  is small and  the crew is  not very helpful especially when it  came to drink ! The screens  on the A380s should be renewed  as they are  made of scratches  and same size  as A321s. Especially  during longer flights, the entertainment system  seems more important.  This is also  a welcome package  especially for pillow , small blanket.  We would expect more from BA.  When you are flying from the US to anywhere  in the UK, I would recommend  the other airlines. But if you are flying to/from UK directly, then BA could be  one of your  choices"
1.0,"I flew from  Manchester to London . Business class.  For more than  part of the  flight a child  sat watching an iPad very loud with no phones plugged in - it was three rows in front  of me and disrupted my flight  before I could  hear it above my headphones. Staff thought this was fine and refused to tell the  children to turn  things down. Why  is this acceptable  on a flight  class in business ?! Has this  airport turned into  another zoo? Are staff given no training in customer  care Why is a child allowed  the disrupt other passengers? When I told the staff she just laughed at me. BA  food service is  absolute disgrace. I've  never even mentioned the food but it was bad,  real bad."
1.0,"They have flow on BA several  years since the  airlines started non-stop  flying between Austin,  TX and London . Every year  the service gets  longer I brought  the tape measure with me to  see how far  out the seats  are in the  aisle section. 25½ inches. BA has  added bathrooms in  Austin to squeeze  a few more  rows of seats onto the aircraft.  Although I'm not a big person  and was able  can squeeze into  one seat without  getting too uncomfortable. When BA first  began flying out of Austin, the  service was great.  Now when I 'm at Heathrow,  I get real food and take  them on the  flight with me.  I don't know  what or who  makes BA's food,  but it is  very eatable. If  we did not  want a direct  connection from my hometown to London,  it would fly  to a different  flight When we  checked into Heathrow,  our line was  very long and only one person  kept checking people ! It took  over an hour  we get to the counter. I understand airlines are making record profits  that need to  pick up lost revenue from the  airlines but I  feel BA has  pushed too far  or has little  concern for customer  care in pursuit of profits."
1.0,"The flight departed  over an hour late due to  a late inbound . The plane  was very full,  and half of the economy class  seats were forced  and check in  a larger cabin  back at the  gate when boarding,  with a complete  lack of the  standard luggage allowance ). Lots of  people on board  seemed stressed out  about missing onwards  flight due to  the delays (and  some did miss  boarding as their next  plane had closed  by the time  BA disembarked at !). Onboard service  was ok but  limited - BA  gave up being  no full-service airline  no time ago. More concerning is  that trying to  keep hold of  the services to  negotiate changes to  services and deal  with problems was  - The airline  seemed to make  it deliberately hard  for its customers  to contact it."
1.0,"I hate British . We get to London on Oct 3 and our next flight  was cancelled. We  stand in line  behind 1200 other people to get it fixed and  then tell everyone to leave the  line and call them to fix.  They book us  flights next day..via online. Don't offer  discount for hotel,  so will miss our tour. Now  have to get home from Istanbul.  Uber is here  but should have  been loading an  hr ago. No explanations. May miss  the flight. Will  NEVER travel with  him again. Was  this same problem  with 2022 flight."
5.0,"Our BA flight  via Porto to  Newark Heathrow T5  were operated by  Virgin using a  private plane and  airline This had  been advised by  us shortly after  arrival with the  opportunity to change flights if we preferred. Although the  business class cabin was of a  different layout to BA Club Europe, i.e. with the  back seat kept  in my wife  and I felt  our seats were more comfortable and  had legroom slightly . Service was good on board , the meal  itself very tasty  we chose the beef cheeks). All  is good until we landed at Heathrow! Although we  passed through passport control without delay,  once we were  at the designated  gate reclaim, we  then waited and … After an hour and ten  minutes I went  into the BA  information counter to  check what was going on. They  appeared unaware of an issue, but  thought they would  find out! Over  the next hour  of so various other passengers also requested information and  after various announcements and a list  with different excuses  it was almost  two hours before  our bags finally  cleared Frustrating to  say the least.  They subsequently complained to BA, but  for 4 weeks  this has been  NO explanation just the automated message from customer services  who are experiencing  very high volumes’.  This response says  A lot!"
3.0,"the customer services  (+ centres etc)  were atrocious and sometimes callous. They  really don’t care. Long waits to speak to anybody,  and then have  little power to actually solve anything, and the calls just cut halfway  towards resolution anyway.  When the flights  are cancelled (as were my original ) you’re really left on your own and nobody . The onboard services are so-so but for short haul it’s now  a cost” which is confusing as  you never know what to expect.  One time we were given a bottle of water  or a (very)  light snack, whilst  everybody else had to be paid . And yet  in some other  airlines apparently you have to pre-order any additional food.  Very confusing, which makes it not dependable. Cabin baggage is in theory  cheaper compared to competitors in economy but then they asked more than  all the passengers  of this flight  for check in the cabin baggage  from the gate due to lack of space in the overhead cabins, leading to long boarding delays. Their whole offering hasn’t been thought through very well . The USB power supply did not  function throughout the flight (contrary to the announcement that the power be available after the seatbelt sight was turned off ) so it was  not providing the  connection in the first place. Not  a first choice  airline on this  flight and am just trying to use up most  on my Avios  money before I totally abandon them. I fail to  see how it  got deemed a 4 star airline."
5.0,"I am a  regular flyer with  Delta and have  been for the  last 15 years.  Having noted the  following given, frankly,  and cannot understand how BA scores  5 stars for  all aspects of  their service. In  a nutshell, BA  clearly placed profit  priority over passenger  safety This fact  got hammered home  on my return leg, which was  done in Club . Quite alarmingly,  Boeing appears to place profit over  customer safety by  putting its ""Business ""- seating up  above and beyond  their exit rows , then failing  the ensure those  sitting in exit rows have the  necessary capacity to  hold open the door incase of  any emergency. I  am not at  ALL reassured to  have an elderly and slightly built woman seated with  sole responsibility of  opening the overwing exit should the  emergency have arisen.  The business (Club ) is simply  another joke and  is useful for  earning valuable tier points for lounge/pre-boarding benefits. While cabin  level service is  excellent the lack  for space and  variety in refreshment , etc. places  BA a million  miles behind competing  brands such as  the Turkish or  Emirates who understand  their true definition  for customer appreciation and hospitality. BA  has consistently eroded  in value of their Executive Club  but seems to  have of the impression that recent  success in obtaining  seat points during  a booking process  - passengers -  while I want  the support BA  - did enjoy  flying with them  up to the  day when they  started penny pinching  - became more  fond of the  airline ""Budget Airways""  The attached photos taking during my  most recent itinerary  shows the difference  of customer care/appreciation  from British Airways  and another airline  lacking in this . Both flights were around 4  hours in duration,  on the same day. Guess which  one is shows  better in-flight offering!"
4.0,"Flew with BA to Punta Cana.  Into the trouble  we reserve seats for both outbound and inbound flights.  After boarding at Gatwick, realised we had been moved to much less good seats with other people sitting in the seats we had spent a lot of money reserving. Apparently there has been a change of aircraft and a number of passengers had been automatically reallocated seats for no particular reason. The crew said there was nothing they could do (although of course they could just 've swapped us with the couple using our seats). We were told to claim a refund on return home. We did this via a complaint form Ns BA offered us £100 in vouchers. We didn't accept this as it was less than the cost of the seats and also naturally we wanted our money back. We eventually got it but not without a fight. Very second rate shoddy airline."
1.0,"He downgraded me from business to premium economy. They  took three months  to get back to me and offered me 200 pounds or 400 %. The difference  in business class and premium economy (which I never  use is $3000  AUD and the difference between economy  and business is  4000 AUD. They owe me at  best 1500 pounds and to be very fair 3250 pounds. The downgrade was insulting and  extremely painful as I had a  lung cancer operation  but have a back injury which  I have pointed  earlier to them  that I need to lie down. The wait for  them to get around to me has been numbing. The insult of  the offer has been the slap  across the face to continue my degradation. The people I have dealt with at the airport have been down to earth, honest hard working people. The actual staff on the  flight were warm and friendly -  very helpful. The systems under which  it operates are  some sort of  mental torture."
1.0,"An already delayed  plane landed and apart from the small BA logo on the rear of the fuselage,  I was no  sign as to whom the carrier really was. Boarding turned into a  fiasco with passenger  members being told  to wait in  a queue in order to board, only to be informed we were  in the wrong  plane and our boarding wasn't allowed . The interior  design was reminiscent of a BA cabin from twenty  hours earlier except  for tight legroom  with uncomfortable seating  never made a  British airline feel luxurious. The crew  was not BA but from an unknown charter company.  Flight was slow,  and as usual,  offers of food to purchase ran out before they'd reached row 24. I requested a cup of tea  that never appeared. Thank goodness for  an airport purchased water and the tiny offering of  water The over  aged senior flight  attendants who'd been facilitating in 'Club ' appeared in economy and immediately slammed down the armrests (whilst still in mid flight)  made an already  uncomfortable journey feel  like ""Cattle class"" was definitely that!  To say I  felt happy to  board and disembark  is an understatement.  Once again BA, never again!"
2.0,"Coming up in  the Gatwick cancellation fiasco; at some  time between what  were smooth check  out (unable to  check online as  part of group ), and security,  our flight was cancelled; (we were  denied entry to  arrivals and departures  was a result).  This was at  which point that  I discovered BA  who are not  passengers but a  company who are  happy to help , and provide  as little assistance  to the 'real  people provide information,  who even though our baggage was now airside, didn't have a clue as to how  I could get  ours back. It  did however, with  regards to a  call from Business  Class check in,  that came to  our assistance and help with our  own baggage retrieval,  advice on what  baggage claim and  claim and our  connecting BA flight  into LHR the  following evening. (Difficult  to give a rating for cabin  crew as we  didnt even board  an aircraft)"
1.0,"BA has a  huge problem with boarding it's flights.  Customers who get on first fill the luggage bins  of 2 bags, one of which  is supposed to  be small and under seat only. Cabin staff don't bother implementing their own rules. Subsequent  passengers mill up and down the aisle, bumping into each other, searching for space. Boarding  our flight took  an hour as  a result of this nonsense. The  next flight was  boarding already so our 90 minute flight was 90 minutes late."
1.0,Our connecting flight  to London to  Paris was canceled  and we were  forced to wait  two hours in  JFK airport for  the new flight.  When we received  our luggage at  customs we discovered  both our luggage  is soaking wet.  The wife’s luggage  also were wet  so had to  have air dried.
1.0,Most worst airline I have ever  flown with. Allocated  a very back  seats next to the toilets and  seats No chance  at getting any  important question asked  about possible seat  requests ignored and  got bumped the  whole time by  the crew walking  and pushing kart  down and down  stairs without one  seat Would have been better sitting  with the luggage  rack
10.0,"Good service levels,  knowledgeable crew and  excellent food and beverages. I found all aspects of the service to  be superior to  standard business class,  particularly the new  Premium Club Suites.  Second Class felt  as the dedicated  crews were clearly  dedicated to working the premium cabin,  doing their work,  very proactive, friendly,  highly respectful and  the food and  beverages offering a  great step up from business class.  Each seat, with  the double doors was spacious, well  fitted and very comfortable.  British Airways offered a  great First Class  experience from Concorde  flight to boarding (which was actually by group number for a change)  with the very  warm and genuine welcome on boarding. A consistent, solid,  friendly service from start to finish and if the  price was right, I would not hesitate to book First Class with British Airways again."
1.0,"Booked a very special holiday for me and my partner, September arrived  and we were on our way to lovely South of France, Booked Business Class for us both to start the holiday right. As we were checking I was told the  seat was over booked and our  tickets wouldn't print onto the ticket for some reason. We had already made sure the seats were booked when we had booked the flights nearly a year  prior to going. Unfortunately when we arrived at the gate we were then told we would no longer be sat together and one of us would in fact have to go into economy.  My girlfriend is an extremely nervous flyer and so had to take extra tablets to remain calm, She didn't have any food which we had pre booked also and she was sat right down the bottom end of the flight. We were held at the gate with another 4 or 5 couples all in the same predicament all due to  some lovely money grabbing British Airways over booking the flight. They ended up refusing passengers in the end and even had people sat on the fold down chairs in the toilet area. When we eventually arrived in France late, we was waiting  for our luggage to come. Our airtags stated that both our cases was in fact still in Heathrow. We then had to wait 4 days for them  and eventually come into France by this point our holiday was ruined. British Airways was absolutely shocking, we couldn't speak to anyone as all the phone numbers were no longer  in use. We felt stranded in a foreign country  having no clothes and no one to help use with what to do next. Every day we watched them case not moved as we were tracking with air tags. it was so frustrating not being able  even plan our days in hope we would get the call to  then drive all the way back to the air port 2 hours each way to collect our cases. we ended up going out and buying new clothes toiletries and all the stuff to make the best of our ruined holiday, saving all the receipts thinking we would be able to claim it all back. how wrong I was. British airways take zero responsibility and fob me off with going  without my insurance. British Airways only  pay for basic  hygiene Pants and toothpaste. I filed a complaint when I got back and requested my money back for business class and they haven't even had the decency to even respond. They are an absolute joke of a company and I wish they would remove British out of there name because there is nothing British about them. Do not give them your money, they cant even look  after their staff let alone customers. Oh and don't bother trying to cancel your flight either as they just take all of your money off you and give you nothing <mask>"
2.0,"Just returned from Chicago, flew out  two days ago on American Airlines , superb in every way, had  high expectations on return flight with  such a disappointment.The  Airbus A380 may be nice from  a pilots perspective but as a passenger it was awful.Very uncomfortable seats,  the inflight entertainment and flight tracker failed to work  during the flight, the inflight meal was inedible and  the service was  poor at best.  The short flight from Heathrow to  Chicago was much  improved very welcoming  very attentive in  the staff and  the flight even  left early. In future we will  return with one of the American  airlines "
2.0,"BA standards continue to decline every time I fly with them. This time, a 45 min late departure, which seems the norm for BA, and no information from the rude and clueless boarding gate staff. The Club lounge was overcrowded, dirty and grubby and cleaning staff could not cope. How many more cutbacks is BA going to apply before they become truly low cost. As a 35 year veteran user of BA, while people complained of Alex Cruz  cabin costs, the past 3 years has seen them decline very quickly under their latest CEO. One reads the occasional article about BA improving , but I have yet to see anything substantive. There seem to be few British staff left amongst the cabin crew, so maybe time for a name change and give the flag carrier status to a proper low-cost - and sadly the staff service has declined year on year. Onboard, the catering remains poor and surprised that  they can produce such rubbish meals when I have sampled their Turkish Airlines equivalent in August that was  excellent - guessing BA are too tight with their budget. Onboard WiFi service is a joke and should be avoided."
2.0,"Awful. Business class check in queue  is as long as for economy,  mostly because half of the desks  is not staffed , Terminal 5 is chaotic. Business  was overfull, couldn't get seats. Delayed , unmanaged chaos at the gate.  Last drink on boarding, first drink served an hour  from take-off. The meal was poor, used to get better in economy  by other airlines. British Airways has  won the race to the bottom of the cheapskate ! Not looking forward to the flight home."
3.0,"What a reliable  flight You cannot trust the timing at all. I had a 6.45am flight, boarding was  in time, but then we are sitting in the plane for already  3 hours) and the expected departure is still not clear. They have discovered the engine is not working! I am risking to be late for a business meeting in Geneva. How come they bring a not working plane to  our gate. The funny thing is  that I had another business trip in spring 2023, also with BA to Amsterdam. When I arrived to the Airport that  morning - I 'm told I don't have a  ticket I was put on the next flight in several hours, which should have get me to the business meeting late, but still not too much. A lot of stress.  In the end, on the second  day we were sitting in the cabin for 1.5 hours and I have missed the  plane I thought  I was a dramatic unlucky case that time, but today I see it's routine for  me not to fly on time."
1.0,"I take comfort  after reading the last ten or so reviews to see I'm not the only traveller to put in words, how absolutely abysmal British Airways are! The only  way we are stuck using this awful airline is to use up points. We booked Club Europe months ago. London to  London sat in row 3 and told they had  run out of food options, only choice was lentil pie or green  curry Returning Athens to London Club Europe. Couldn't check in online as promised so arrived at the airport 3hrs early. To be told they had overbooked the flight and basically we were being 'bumped' to economy. This airline fails to deliver time  and time again. It is a national disgrace and I implore everyone to choose an alternative. "
3.0,"My worst journey in my life. The connection time at LHR was only 1 hour, but the flight  at MXP was on delay. I had to rush to change terminal by train and arrived risking a  panic attack. After that the plane just stayed there for another 40 minutes. Despite that,  on arrival at  BA my baggage was lost. I filled the form  I gave to  an employee. I was not given  the receipt, so  it did not have any reference  to BA phone number at SJC simply never answer. I called twice the toll free  number and realized they did not record the delivery  so I had  to enter myself online, dealing with  their shitty website.  BA delivered the baggage three days later. I claimed  my compensation online,  but I had to buy clothes , other stuff and I did never get a  response I was expecting an upgrade for the flight  home to MXP,  and nothing happened, neither they allowed me to enter BA lounge at . Bad customer service. The only positive side was price, but obviously this cannot justify this treatment and if I knew , I would never flown by . Never again!"
4.0,"Most airplanes and  the lounges are  sold out, old  or broken. From  London to Heathrow,  all first class  seating and electronics  are non functional , poorly designed. The first class  flight from Heathrow  into Dubrovnik was  no more than  the tray blocking  one middle seat  on a standard  airline ticket. Very  disappointing"
1.0,"One of the worst experiences on the worst airline. The flight was  delayed due to earlier technical issues.  Flight time slipped from 17:00 to 20:00 to 22:00  then finally cancelled. There was zero information given. Despite paying well over the odds for business class, we were booted out of the BA lounge two hours  for the flight. When it was finally cancelled, the BA staff. Without explanation, told everyone  we go to a gate. After another hour or  two they made us re enter the UK via  immigration control, a  nearly 40 minute wait. By now the airport was closing and there was no sign  about our bags or any help from BA. A passing Gatwick engineer finally helped us locate the bags. BA completely washed their hands of us and in contravention of CAA  regulations refused to find us accommodation.  We slept in a bus stop overnight. There were people with young children who couldn’t  afford somewhere to stay and yet BA had closed down and left. The following day the replacement flight was also late and due to  some admin mistake had no catering or liquids for a 2 1/2  hour flight. Overall the service was shockingly bad, the worst I have experienced from any airline. I will  NEVER ever use them again."
1.0,"Cancelled our flight last-minute then moved  us onto a flight 2 days  later operated by  British Airlines. We had paid a lot extra for  extra legroom seats as I am  fairly tall and they assigned me  to middle seat  right in the middle of the  row Because it 's operated by a different airline but booked by BA, neither BA nor the other  airlines could change  the seat over the phone despite  seats being available.  For 4 hours  of waiting in queues and sitting on hold their solution was for me to arrive  late at the airport. I did  as the seats  having already been given away for  FREE by people  I had booked  in with that  company and could check in online.  We got a £10 meal voucher as compensation for  my enormous downgrade  on a 14 hr flight. Never  more will I  trust BA. I  will rather fly indirect with better  fares than use  this disgrace of  a airline again."
1.0,"I had a  trip from Miami,  FL to Dublin,  UK via London's Heathrow airport. The  connecting flight from  Miami was delayed  and we were further delayed when  a gate was  locked when we  arrived in Heathrow. The total delay was roughly an hour but it 's enough to  make our connection  time challenge, where  it had 73  days between original  departure time until  our departure time to Dublin. When  were headed to  our connection flight,  we were stopped  by security personnel  at a checkpoint and told us that the gate  for our connection  plane had already closed. This was twenty minutes prior  the departure time. They ushered us  into customer service  could be rebooked.  Given the busy weekend of travel,  we were rebooked  on a flight  to a different  airline and were  informed that our  cost to get  home would be reimbursed. We then  spent 3 hours  getting our luggage,  which then took  the cab to London's City Airport. The cab fare  was roughly $500. When I filed a claim with British Airways, they  denied the claim and told me  why we had  hours of time to make our connecting flight and  that they denied my claim to be reimbursed for  my cab fare. This is after I explained that  was was British Airways employees who  asked us to  make the flight  within the 20 minute timeframe to  make the connecting flight. The person who rebooked us,  told us it  was policy that  they close the  gates 20 minutes  previous to departure.  I will never  trust this awful airline again. Given  all other feedback  to this site,  It appears that  that is the overwhelming sentiment."
